County,Latitude,Longitude,Score,Zipcode
Los Angeles County Split,34.061270606363,-118.23496285959654,6,90086
Los Angeles County Split,34.061270606363,-118.25032314040348,10,90071
Los Angeles County Split,34.048544593637,-118.23496285959654,15,90012
Los Angeles County Split,34.048544593637,-118.25032314040348,44,90013
Cook County,41.7376587,-87.697554,2,60652
Maricopa County,33.0581063,-112.0476423,13,85238
San Diego County Split,32.722101006363005,-117.15352105808527,10,92101
San Diego County Split,32.722101006363005,-117.16864654191473,41,92101
San Diego County Split,32.709374993637,-117.15352105808527,43,92101
San Diego County Split,32.709374993637,-117.16864654191473,34,92101
Orange County Split,33.794271506363,-117.84762489098368,8,92866
Orange County Split,33.794271506363,-117.86293710901634,3,92868
Orange County Split,33.781545493637,-117.84762489098368,17,92866
Orange County Split,33.781545493637,-117.86293710901634,2,92868
Kings County,40.6528762,-73.95949399999999,18,11226
Dallas County Split,32.783027206363,-96.7894199843209,11,75226
Dallas County Split,32.783027206363,-96.80455581567908,31,75202
Dallas County Split,32.770301193637,-96.7894199843209,2,75215
Dallas County Split,32.770301193637,-96.80455581567908,12,75099
Riverside County Split,33.986963506363004,-117.3678207795234,37,92501
Riverside County Split,33.986963506363004,-117.3831676204766,5,92501
Riverside County Split,33.974237493637,-117.3678207795234,11,92501
Riverside County Split,33.974237493637,-117.3831676204766,3,92501
Queens County,40.7282239,-73.7948516,11,11366
Clark County,36.0795613,-115.094045,5,89120
San Bernardino County,34.1083449,-117.2897652,5,92401
Tarrant County,32.7732044,-97.3516558,3,76164
Santa Clara County,37.3541079,-121.9552356,11,95050
Wayne County,42.2814269,-83.3863214,3,48184
Alameda County,37.7798721,-122.2821855,6,94607
New York County Split,40.719138306363,-73.99757820977646,53,10013
New York County Split,40.719138306363,-74.01436739022353,33,10282
New York County Split,40.706412293636994,-73.99757820977646,18,11242
New York County Split,40.706412293636994,-74.01436739022353,56,10006
Philadelphia County Split,39.958946906363,-75.15692094626624,5,19105
Philadelphia County Split,39.958946906363,-75.17352205373376,13,19103
Philadelphia County Split,39.946220893637,-75.15692094626624,47,19109
Philadelphia County Split,39.946220893637,-75.17352205373376,76,19146
Sacramento County Split,38.587934906363,-121.4862598600901,2,95814
Sacramento County Split,38.587934906363,-121.50253933990987,15,95814
Sacramento County Split,38.575208893637,-121.4862598600901,55,95816
Sacramento County Split,38.575208893637,-121.50253933990987,21,95814
Palm Beach County Split,26.71198360636301,-80.02930688363139,9,33480
Palm Beach County Split,26.71198360636301,-80.0435525163686,34,33480
Palm Beach County Split,26.699257593637,-80.02930688363139,29,33480
Palm Beach County Split,26.699257593637,-80.0435525163686,27,33480
Bronx County Split,40.85114490636301,-73.85641551121705,23,10461
Bronx County Split,40.85114490636301,-73.87323808878295,3,10460
Bronx County Split,40.838418893637,-73.85641551121705,7,10462
Bronx County Split,40.838418893637,-73.87323808878295,3,10460
Nassau County,42.51591450000001,-73.61011590000001,1,12123
Travis County,30.2097015,-97.6982272,1,78742
Allegheny County Split,40.451444306363,-80.00041353396902,12,15212
Allegheny County Split,40.451444306363,-80.01713566603097,5,15233
Allegheny County Split,40.438718293637,-80.00041353396902,52,15219
Allegheny County Split,40.438718293637,-80.01713566603097,10,15233
Salt Lake County Split,40.767142306363006,-111.88264675020616,56,84139
Salt Lake County Split,40.767142306363006,-111.89944804979385,57,84180
Salt Lake County Split,40.754416293637,-111.88264675020616,13,84111
Salt Lake County Split,40.754416293637,-111.89944804979385,7,84101
Fairfax County Split,38.85258660636299,-77.29820336763997,17,22030
Fairfax County Split,38.85258660636299,-77.31454323236001,8,22030
Fairfax County Split,38.839860593636985,-77.29820336763997,11,22030
Fairfax County Split,38.839860593636985,-77.31454323236001,3,22030
Collin County,33.1795213,-96.4929797,3,75407
Fulton County,33.8033965,-84.3962535,20,30309
Montgomery County,39.1547426,-77.2405153,1,20878
Honolulu County Split,21.316247506363005,-157.86497008217012,13,96817
Honolulu County Split,21.303521493637,-157.8513101178299,7,96813
Honolulu County Split,21.303521493637,-157.86497008217012,25,96850
Fresno County,36.7377981,-119.7871247,16,93721
St. Louis County Split,38.633365506363006,-90.19125930541908,18,63103
St. Louis County Split,38.633365506363006,-90.20754909458093,13,63103
St. Louis County Split,38.620639493637,-90.19125930541908,13,63101
St. Louis County Split,38.620639493637,-90.20754909458093,15,63103
Westchester County,41.1220194,-73.7948516,8,10570
Duval County,30.3500511,-81.6035062,4,32211
Capitol Planning Region Split,41.77062610636301,-72.67374956113696,23,06103
Capitol Planning Region Split,41.77062610636301,-72.69081103886307,1,06105
