ZIP Code,2020,2021,2022,Population Growth
00601,16773.0,17126.0,16834.0,61.0
00602,37083.0,37895.0,37642.0,559.0
00603,45652.0,49136.0,49075.0,3423.0
00606,6231.0,5751.0,5590.0,-641.0
00610,26502.0,26153.0,25542.0,-960.0
00611,,1283.0,1315.0,
00612,58771.0,64090.0,63312.0,4541.0
00616,9688.0,10186.0,9625.0,-63.0
00617,23771.0,22803.0,22573.0,-1198.0
00622,6505.0,7751.0,7577.0,1072.0
00623,41472.0,39652.0,39406.0,-2066.0
00624,21031.0,21912.0,21648.0,617.0
00627,31066.0,32885.0,32733.0,1667.0
00631,1481.0,1098.0,1431.0,-50.0
00636,,1174.0,1057.0,
00637,21957.0,23016.0,22882.0,925.0
00638,16018.0,17689.0,17605.0,1587.0
00641,26383.0,24915.0,24299.0,-2084.0
00646,36538.0,36142.0,35926.0,-612.0
00647,5708.0,5198.0,4702.0,-1006.0
00650,13869.0,14301.0,13767.0,-102.0
00652,3624.0,3193.0,3924.0,300.0
00653,10117.0,9099.0,8980.0,-1137.0
00656,17984.0,18633.0,18121.0,137.0
00659,39561.0,37525.0,37066.0,-2495.0
00660,15731.0,15630.0,15483.0,-248.0
00662,39017.0,40503.0,40480.0,1463.0
00664,14405.0,15132.0,14967.0,562.0
00667,22721.0,23665.0,23370.0,649.0
00669,24022.0,27763.0,27529.0,3507.0
00670,8051.0,8744.0,8746.0,695.0
00674,38218.0,39569.0,39385.0,1167.0
00676,35621.0,36849.0,36683.0,1062.0
00677,13949.0,15225.0,15304.0,1355.0
00678,24997.0,25763.0,25039.0,42.0
00680,44904.0,43070.0,43173.0,-1731.0
00682,30212.0,31816.0,30414.0,202.0
00683,28710.0,29664.0,29547.0,837.0
00685,36546.0,40169.0,40346.0,3800.0
00687,30652.0,29069.0,28659.0,-1993.0
00688,11355.0,11552.0,11478.0,123.0
00690,5900.0,6217.0,5781.0,-119.0
00692,34857.0,33646.0,33302.0,-1555.0
00693,52220.0,56146.0,55570.0,3350.0
00694,32.0,86.0,98.0,66.0
00698,34449.0,34016.0,33506.0,-943.0
00703,25619.0,25001.0,24475.0,-1144.0
00704,7641.0,7179.0,6831.0,-810.0
00705,22289.0,24414.0,24401.0,2112.0
00707,10514.0,10615.0,10487.0,-27.0
00714,17413.0,16183.0,15797.0,-1616.0
00715,2846.0,2012.0,2040.0,-806.0
00716,26433.0,27746.0,27166.0,733.0
00717,15115.0,14568.0,15029.0,-86.0
00718,25543.0,23412.0,23289.0,-2254.0
00719,28048.0,29555.0,29523.0,1475.0
00720,20387.0,20717.0,20816.0,429.0
00723,16645.0,16265.0,15978.0,-667.0
00725,79395.0,79153.0,77244.0,-2151.0
00727,51772.0,52829.0,53258.0,1486.0
00728,39204.0,39669.0,38590.0,-614.0
00729,50721.0,48227.0,47826.0,-2895.0
00730,29075.0,33251.0,32267.0,3192.0
00731,12108.0,11131.0,10473.0,-1635.0
00735,11593.0,11621.0,11164.0,-429.0
00736,45773.0,46167.0,45867.0,94.0
00738,28329.0,30468.0,30093.0,1764.0
00739,35801.0,35105.0,34678.0,-1123.0
00740,1934.0,2020.0,2034.0,100.0
00741,3911.0,3899.0,3627.0,-284.0
00745,49472.0,48282.0,47494.0,-1978.0
00751,20662.0,19768.0,19570.0,-1092.0
00754,36309.0,37012.0,36576.0,267.0
00757,21474.0,20366.0,20048.0,-1426.0
00765,8402.0,8317.0,8199.0,-203.0
00766,22187.0,22416.0,22053.0,-134.0
00767,32867.0,31450.0,30779.0,-2088.0
00769,38500.0,35126.0,34374.0,-4126.0
00771,36388.0,34882.0,34964.0,-1424.0
00772,18919.0,18148.0,17316.0,-1603.0
00773,17924.0,17917.0,17716.0,-208.0
00775,1326.0,1293.0,1186.0,-140.0
00777,39580.0,38267.0,37726.0,-1854.0
00778,46720.0,41026.0,40476.0,-6244.0
00780,10887.0,12975.0,13908.0,3021.0
00782,17310.0,18664.0,18639.0,1329.0
00783,32372.0,34329.0,34205.0,1833.0
00784,38894.0,36965.0,35917.0,-2977.0
00786,292.0,151.0,154.0,-138.0
00791,47675.0,47335.0,46537.0,-1138.0
00794,28088.0,28432.0,28335.0,247.0
00795,43475.0,44055.0,42900.0,-575.0
00901,7438.0,8098.0,8220.0,782.0
00906,178.0,171.0,148.0,-30.0
00907,15641.0,16620.0,16607.0,966.0
00909,4855.0,5007.0,5260.0,405.0
00911,7157.0,7347.0,7087.0,-70.0
00912,5868.0,6233.0,5955.0,87.0
00913,7225.0,7460.0,7068.0,-157.0
00915,24079.0,25585.0,24713.0,634.0
00917,17836.0,18504.0,18544.0,708.0
00918,14902.0,15393.0,15976.0,1074.0
