ZIP Code,Population,Year
00601,16773,2020
00602,37083,2020
00603,45652,2020
00606,6231,2020
00610,26502,2020
00612,58771,2020
00616,9688,2020
00617,23771,2020
00622,6505,2020
00623,41472,2020
00624,21031,2020
00627,31066,2020
00631,1481,2020
00637,21957,2020
00638,16018,2020
00641,26383,2020
00646,36538,2020
00647,5708,2020
00650,13869,2020
00652,3624,2020
00653,10117,2020
00656,17984,2020
00659,39561,2020
00660,15731,2020
00662,39017,2020
00664,14405,2020
00667,22721,2020
00669,24022,2020
00670,8051,2020
00674,38218,2020
00676,35621,2020
00677,13949,2020
00678,24997,2020
00680,44904,2020
00682,30212,2020
00683,28710,2020
00685,36546,2020
00687,30652,2020
00688,11355,2020
00690,5900,2020
00692,34857,2020
00693,52220,2020
00694,32,2020
00698,34449,2020
00703,25619,2020
00704,7641,2020
00705,22289,2020
00707,10514,2020
00714,17413,2020
00715,2846,2020
00716,26433,2020
00717,15115,2020
00718,25543,2020
00719,28048,2020
00720,20387,2020
00723,16645,2020
00725,79395,2020
00727,51772,2020
00728,39204,2020
00729,50721,2020
00730,29075,2020
00731,12108,2020
00735,11593,2020
00736,45773,2020
00738,28329,2020
00739,35801,2020
00740,1934,2020
00741,3911,2020
00745,49472,2020
00751,20662,2020
00754,36309,2020
00757,21474,2020
00765,8402,2020
00766,22187,2020
00767,32867,2020
00769,38500,2020
00771,36388,2020
00772,18919,2020
00773,17924,2020
00775,1326,2020
00777,39580,2020
00778,46720,2020
00780,10887,2020
00782,17310,2020
00783,32372,2020
00784,38894,2020
00786,292,2020
00791,47675,2020
00794,28088,2020
00795,43475,2020
00901,7438,2020
00906,178,2020
00907,15641,2020
00909,4855,2020
00911,7157,2020
00912,5868,2020
00913,7225,2020
00915,24079,2020
00917,17836,2020
00918,14902,2020
00920,16157,2020
00921,30663,2020
00923,23811,2020
00924,46690,2020
00925,6365,2020
00926,89327,2020
00927,13490,2020
00934,114,2020
00936,802,2020
00949,71371,2020
00950,0,2020
00951,0,2020
00952,7324,2020
00953,70997,2020
00956,60554,2020
00957,37977,2020
00959,46116,2020
00960,1793,2020
00961,28638,2020
00962,18274,2020
00965,6901,2020
00966,15139,2020
00968,3603,2020
00969,40402,2020
00971,25443,2020
00976,57297,2020
00979,17022,2020
00982,13402,2020
00983,32735,2020
00985,31388,2020
00987,52270,2020
01001,16064,2020
01002,30099,2020
01003,11588,2020
01005,5166,2020
01007,15080,2020
01008,1116,2020
01009,649,2020
01010,3663,2020
01011,1486,2020
01012,595,2020
01013,22739,2020
01020,30249,2020
01022,2203,2020
01026,1030,2020
01027,17641,2020
01028,16215,2020
01029,572,2020
01030,12563,2020
01031,1436,2020
01032,482,2020
01033,6310,2020
01034,2115,2020
01035,5328,2020
01036,5174,2020
01037,642,2020
01038,2653,2020
01039,1368,2020
01040,40161,2020
01050,2454,2020
01053,1850,2020
01054,1875,2020
01056,21223,2020
01057,8778,2020
01060,16386,2020
01062,9693,2020
01063,623,2020
01066,30,2020
01068,1636,2020
01069,8716,2020
01070,679,2020
01071,1392,2020
01072,1541,2020
01073,6169,2020
01074,396,2020
01075,17715,2020
01077,9722,2020
01079,515,2020
01080,2419,2020
01081,1937,2020
01082,10341,2020
01083,3125,2020
01084,165,2020
01085,41758,2020
01086,351,2020
01088,588,2020
01089,28527,2020
01092,1200,2020
01093,295,2020
01094,428,2020
01095,14740,2020
01096,2288,2020
01097,93,2020
01098,1182,2020
01103,1989,2020
01104,23150,2020
01105,12651,2020
01106,15982,2020
01107,11693,2020
01108,26397,2020
01109,30684,2020
01118,14839,2020
01119,13253,2020
01128,2989,2020
01129,6296,2020
01151,9485,2020
01199,0,2020
01201,43941,2020
01220,8129,2020
01222,720,2020
01223,2499,2020
01224,163,2020
01225,3093,2020
01226,6698,2020
01229,59,2020
01230,8354,2020
01235,2369,2020
01236,1577,2020
01237,2522,2020
01238,5980,2020
01240,4666,2020
01242,337,2020
01243,258,2020
01244,120,2020
01245,774,2020
01247,15340,2020
01253,789,2020
01254,961,2020
01255,891,2020
01256,701,2020
01257,1858,2020
01258,604,2020
01259,617,2020
01260,191,2020
01262,1136,2020
01264,214,2020
01266,1281,2020
01267,7796,2020
01270,897,2020
01301,17611,2020
01330,1594,2020
01331,13609,2020
01337,2442,2020
01338,150,2020
01339,1410,2020
01340,1780,2020
01341,1796,2020
